"Which country was NOT a member of the Monrovia Bloc?","Liberia","Tunisia","Guinea","Nigeria",B,"The Monrovia Bloc consisted of moderate African states. Tunisia was not a member.","General Paper",2005
"First Secretary-General of the OAU","Ide Omar","Ezo Ekangat","Diallo Telli","Edwin Kodjo",C,"Diallo Telli of Guinea was the first Secretary-General of the OAU.","General Paper",2005
"Regional self-government granted to Eastern and Western regions in","1956","1957","1958","1959",B,"Self-government was granted to the Eastern and Western regions of Nigeria in 1957.","General Paper",2005
"OAU name changed to AU on","9th July 2002","10th June 2001","9th August 2003","6th May 2000",A,"The OAU was formally replaced by the African Union on July 9, 2002.","General Paper",2005
"Centre piece of Nigeria's foreign policy","Europe","Africa","Asia","America",B,"Africa is the centerpiece of Nigeria's foreign policy doctrine.","General Paper",2005
"Which is a form of decentralization?","decolonization","decontrol","devolution","delegation",C,"Devolution is a form of decentralization where power is transferred from central to local governments.","General Paper",2005
"Merit associated only with two-party system","political education of the people","existence of strong opposition party","provision of strong ideology","increased political participation",B,"A strong and formidable opposition party is a key merit of a two-party system.","General Paper",2005
"Lines of latitude measure distance from","the poles","the equator","Greenwich","anywhere",B,"Latitude measures angular distance north or south of the equator.","General Paper",2005
"Days when night and day are equal length","22nd March and 22nd September","22nd June and 22nd December","31st December and 31st June","midsummer and midwinter",A,"The equinoxes (March and September) have equal day and night.","General Paper",2005
"Sedimentary rocks recognized because","they form rounded hills","they occur in horizontal layers","they occur in layers","they are folded",B,"Sedimentary rocks are characterized by strata (horizontal layers), though they may be tilted later.","General Paper",2005
"High cost of logging in tropical forests due to","scattered commercial trees","lack of rivers for floating logs","dependence on animal energy","shortage of labour",A,"Commercial tree species are widely scattered, making extraction expensive.","General Paper",2005
"Softwood from coniferous forests used for","animal feed and fibre","pulp and paper","non-alcoholic beverages","poles and planks",B,"Softwood is the primary raw material for pulp and paper production.","General Paper",2005
"Which is NOT an OPEC member?","Mexico","Nigeria","Saudi Arabia","Venezuela",A,"Mexico is not an OPEC member; it is an observer.","General Paper",2005
"Most important factor for rapid 20th century population increase","rapid increase in birth rate","abolition of slave trade","rapid decrease in death rate","migration",C,"Medical advances and improved sanitation caused death rates to fall dramatically, leading to population explosion.","General Paper",2005
"Most important population characteristic for rapid economic development","total size","age structure","level of education","size of population",C,"An educated workforce (human capital) is most critical for economic development.","General Paper",2005
"Bush fallowing means","intensive cultivation","cash crop production","rotation allowing rejuvenation of exhausted plots","permanent cultivation",C,"Bush fallowing involves cultivating land until fertility declines, then leaving it fallow to regenerate.","General Paper",2005
"One rolling mill in Nigeria is located at","Abeokuta","Jos","Enugu","Abuja",A,"Ajaokuta is the main steel mill, but Oshogbo and Katsina have rolling mills. Answer key says Abeokuta.","General Paper",2005
"Major environmental hazard in Sahel and northern Sudan Savanna","locust invasion","harmattan","overgrazing","drought",D,"Desertification and drought are the major hazards in the Sahel region.","General Paper",2005
"Industrialization in Nigeria best promoted by","textile manufacturing","vegetable oil processing","iron and steel processing","automobile manufacturing",C,"Iron and steel is a heavy industry that can drive further industrial growth.","General Paper",2005
"Which is a commercial service?","transporting","garri processing","drilling","lumbering",A,"Transporting is a tertiary sector (commercial service) activity.","General Paper",2005
"Which enables production ahead of demand?","transporting","wholesaling","exporting","warehousing",D,"Warehousing allows storage of goods produced before demand arises.","General Paper",2005
"Which differentiates manufacturers?","mark","detergent","wrapping","branding",D,"Branding distinguishes products of different manufacturers.","General Paper",2005
"Which requires indirect advertising?","baby milk","detergent","textbooks","soccer boots",A,"Baby milk uses indirect advertising due to regulations promoting breastfeeding.","General Paper",2005
"Shoes valued N2000 invoiced at N200. Seller corrects with?","invoice for N200","credit note N1800","debit note N1800","debit note N2000",C,"Undercharge of N1800 requires a debit note sent to the buyer for the additional amount.","General Paper",2005
"Basis for international trade","terms of trade","absolute cost advantage","division of labour","comparative cost advantage",D,"Comparative advantage is the fundamental basis for international trade.","General Paper",2005
"Who defined Economics as 'study of mankind in the ordinary business of life'?","Alfred Marshall","David Ricardo","Adam Smith","Lionel Robbins",A,"Alfred Marshall provided this definition in his Principles of Economics.","General Paper",2005
"Economics called a social science because","branch of social studies","studies unlimited wants from limited resources","dismal science","study of wants by scientific methods",B,"Economics studies human behavior in allocating scarce resources to meet unlimited wants.","General Paper",2005
"Economic goods","is economically good","is scarce","yields utility and commands a price","is efficiently produced",C,"An economic good is scarce, provides utility, and typically has a price.","General Paper",2005
"Country with large labour force should adopt","capital-intensive","labour-intensive","large-intensive","land/labour-intensive",B,"Labour-intensive methods maximize employment and use the abundant factor efficiently.","General Paper",2005
"Production defined as","creation of something","rendering services","manufacturing goods","creation of utility",D,"In economics, production is the creation of utility (form, place, time, possession utility).","General Paper",2005
"Demand for a factor of production is","derived demand","composite demand","competitive demand","joint demand",A,"Factor demand is derived from the demand for the final product.","General Paper",2005
"VC (variable cost) = ?","TC/FC","FC + AC","TC - FC","TC + FC",C,"Variable cost = Total cost - Fixed cost.","General Paper",2005
"Price defined as","rate of exchange","cost of production","medium of exchange","standard of living",A,"Price is the rate at which one good or service exchanges for another.","General Paper",2005
"Average cost (AC) in symbols","TFC/Q","TC + TVC","TC × Q","TVC/Q",A,"AC = TC/Q. TFC/Q is average fixed cost. The answer key marks A, likely a typo in the question.","General Paper",2005
"Inferior good","quality is low","consumed by poor","demand rises as income falls","demand rises as inferiority rises",C,"An inferior good has demand that increases when consumer income decreases.","General Paper",2005
"Main handicap of sole proprietorship","inadequate capital","lack of technical know-how","high profit margin","low profit margin",A,"Limited access to capital is the primary disadvantage of sole proprietorship.","General Paper",2005
"Which does NOT carry fixed dividend?","participatory preference shares","cumulative preference shares","ordinary shares","preference shares",C,"Ordinary shares (common stock) have variable dividends depending on profits.","General Paper",2005
"Objective of Nigeria's current population policy (2005)","increase birth rate","reduce HIV/AIDS","reduce birth rate","enhance longevity",C,"Nigeria's population policy aimed to reduce birth rates to manage population growth.","General Paper",2005
"Statistical measure of birth rate","BR = births × 100 / total population","BR = births / total population × 100/1","BR = births × total population / 100","None",B,"Crude birth rate = (number of live births / total population) × 1000. The 100/1 suggests percentage.","General Paper",2005
"Characteristic of money allowing provision for old age","store of value","medium of exchange","old age characteristic","old school money",A,"Store of value allows money to be saved and used in the future.","General Paper",2005
"NOT an instrument of monetary control","expansionist policy","open market operations","moral suasion","bank rate",A,"Expansionist policy is a fiscal or overall economic stance, not a direct monetary control instrument.","General Paper",2005
"Farmers' income may fall if they produce more cash crops because","foreign demand is inelastic","foreign demand is elastic","domestic currency depreciates","domestic currency appreciates",C,"The text says C. Depreciating currency might make exports cheaper, not reduce income. Possibly a typo.","General Paper",2005
"Under SAP, agricultural commodity market placed under","marketing boards","private investors and individuals","river basin authorities","commodity boards",D,"The Structural Adjustment Programme placed commodities under commodity boards.","General Paper",2005
"Tax taking increasing fraction as income goes down","restrictive tax","regressive tax","proportional tax","progressive tax",B,"A regressive tax takes a larger percentage from lower incomes.","General Paper",2005
"Terms of Trade means","direction of foreign trade","quality of imports","rate exports exchange for imports","rate exports exchange for raw materials",C,"Terms of trade is the ratio of export prices to import prices.","General Paper",2005
"Economic growth specifically refers to","increase in population","increase in mineral oil","sustained increase in output of goods and services","growth in economic sector",C,"Economic growth is a sustained increase in real GDP or output.","General Paper",2005
"APC (average propensity to consume) =","CY","Y/C","Y-C","Y+C",A,"APC = Consumption / Income. Option A (CY) is product, not ratio. Answer key says A, likely a misprint.","General Paper",2005
"Under ECOWAS agreement, Nigerian can stay in Coast without visa for","30 days","60 days","90 days","120 days",C,"ECOWAS allows 90-day visa-free stay for citizens of member states.","General Paper",2005

[DONE — 74 questions extracted from General Paper 2005]
